p,e,len,size
0.25,9,11.0281,128.5273
0.25,10,11.079,128.5948
0.25,11,11.1087,127.8765
0.25,12,11.2392,128.1795
0.25,13,11.484,128.6817
0.25,14,11.832,127.9911
0.25,15,12.5642,125.6413
0.25,16,9.3658,64.5141
0.26,0,10.698,134.9008
0.26,1,10.6986,135.2683
0.26,2,10.7181,135.3215
0.26,3,10.771,135.7035
0.26,4,10.755,135.5744
0.26,5,10.7648,135.5667
0.26,6,10.7281,134.5335
0.26,7,10.7443,135.0787
0.26,8,10.8495,135.8417
0.26,9,10.8132,135.1095
0.26,10,10.8357,135.2348
0.26,11,10.9817,135.7973
0.26,12,10.9532,135.1094
0.26,13,11.3272,136.3893
0.26,14,11.6036,135.1323
0.26,15,12.3482,132.5213
0.26,16,9.1916,67.4678
0.27,0,10.5756,140.9502
0.27,1,10.4436,139.8046
0.27,2,10.5517,141.6603
0.27,3,10.5391,140.5709
0.27,4,10.5773,142.0301
0.27,5,10.628,141.9766
0.27,6,10.4783,140.5437
0.27,7,10.6096,141.6179
0.27,8,10.5948,141.5437
0.27,9,10.656,141.1502
0.27,10,10.5583,140.7151
0.27,11,10.7639,141.7746
0.27,12,10.9149,141.3545
0.27,13,11.0445,141.0312
0.27,14,11.318,140.1518
0.27,15,12.1811,139.6113
0.27,16,9.0881,70.8544
0.28,0,10.4207,147.3908
0.28,1,10.3383,146.1833
0.28,2,10.4021,147.658
0.28,3,10.3455,146.2566
0.28,4,10.3543,146.1609
0.28,5,10.3886,147.0392
0.28,6,10.3268,146.2764
0.28,7,10.3882,146.7298
0.28,8,10.4374,147.7242
0.28,9,10.3746,146.3106
0.28,10,10.4119,146.3246
0.28,11,10.5429,146.5125
0.28,12,10.6389,146.7014
0.28,13,10.7568,145.87
0.28,14,11.1449,146.4756
0.28,15,11.9902,145.5235
0.28,16,8.9808,73.1422
0.29,0,10.1972,152.6938
0.29,1,10.1486,151.9668
0.29,2,10.1581,150.867
0.29,3,10.113,151.3982
0.29,4,10.1988,152.0975
